Train Epoch: 1 [0/100000]		Loss: 0.1827 (0.1827) 	Acc: 65.62% (65.62%) 	Emb_Norm: 8.43 (8.43)
Train Epoch: 1 [3200/100000]	Loss: 0.1932 (0.1894) 	Acc: 56.25% (55.41%) 	Emb_Norm: 2.49 (3.02)
Train Epoch: 1 [6400/100000]	Loss: 0.1475 (0.1818) 	Acc: 68.75% (57.60%) 	Emb_Norm: 2.19 (2.69)
Train Epoch: 1 [9600/100000]	Loss: 0.1691 (0.1791) 	Acc: 62.50% (58.55%) 	Emb_Norm: 2.07 (2.58)
Train Epoch: 1 [12800/100000]	Loss: 0.1735 (0.1767) 	Acc: 56.25% (59.04%) 	Emb_Norm: 2.43 (2.52)
Train Epoch: 1 [16000/100000]	Loss: 0.1880 (0.1749) 	Acc: 62.50% (59.47%) 	Emb_Norm: 2.85 (2.49)
Train Epoch: 1 [19200/100000]	Loss: 0.1791 (0.1736) 	Acc: 59.38% (59.81%) 	Emb_Norm: 2.40 (2.49)
Train Epoch: 1 [22400/100000]	Loss: 0.1778 (0.1724) 	Acc: 59.38% (60.22%) 	Emb_Norm: 2.27 (2.45)
Train Epoch: 1 [25600/100000]	Loss: 0.1504 (0.1713) 	Acc: 62.50% (60.43%) 	Emb_Norm: 2.44 (2.44)
Train Epoch: 1 [28800/100000]	Loss: 0.1348 (0.1707) 	Acc: 75.00% (60.64%) 	Emb_Norm: 2.20 (2.43)
Train Epoch: 1 [32000/100000]	Loss: 0.1350 (0.1702) 	Acc: 75.00% (60.81%) 	Emb_Norm: 2.23 (2.43)
Train Epoch: 1 [35200/100000]	Loss: 0.1485 (0.1694) 	Acc: 65.62% (60.96%) 	Emb_Norm: 2.44 (2.43)
Train Epoch: 1 [38400/100000]	Loss: 0.1259 (0.1679) 	Acc: 71.88% (61.33%) 	Emb_Norm: 2.75 (2.45)
Train Epoch: 1 [41600/100000]	Loss: 0.1118 (0.1665) 	Acc: 71.88% (61.69%) 	Emb_Norm: 2.60 (2.47)
Train Epoch: 1 [44800/100000]	Loss: 0.1556 (0.1648) 	Acc: 62.50% (62.17%) 	Emb_Norm: 3.01 (2.50)
Train Epoch: 1 [48000/100000]	Loss: 0.1123 (0.1627) 	Acc: 75.00% (62.75%) 	Emb_Norm: 3.01 (2.52)
Train Epoch: 1 [51200/100000]	Loss: 0.1226 (0.1606) 	Acc: 78.12% (63.28%) 	Emb_Norm: 2.79 (2.56)
Train Epoch: 1 [54400/100000]	Loss: 0.0991 (0.1584) 	Acc: 81.25% (63.82%) 	Emb_Norm: 3.05 (2.59)
Train Epoch: 1 [57600/100000]	Loss: 0.1325 (0.1563) 	Acc: 78.12% (64.38%) 	Emb_Norm: 3.24 (2.61)
Train Epoch: 1 [60800/100000]	Loss: 0.1246 (0.1544) 	Acc: 68.75% (64.82%) 	Emb_Norm: 2.87 (2.63)
Train Epoch: 1 [64000/100000]	Loss: 0.1041 (0.1526) 	Acc: 78.12% (65.32%) 	Emb_Norm: 2.89 (2.65)
Train Epoch: 1 [67200/100000]	Loss: 0.0992 (0.1507) 	Acc: 87.50% (65.81%) 	Emb_Norm: 3.28 (2.67)
Train Epoch: 1 [70400/100000]	Loss: 0.1042 (0.1489) 	Acc: 84.38% (66.31%) 	Emb_Norm: 3.46 (2.69)
Train Epoch: 1 [73600/100000]	Loss: 0.0879 (0.1470) 	Acc: 84.38% (66.82%) 	Emb_Norm: 3.34 (2.72)
Train Epoch: 1 [76800/100000]	Loss: 0.0920 (0.1451) 	Acc: 84.38% (67.31%) 	Emb_Norm: 3.27 (2.74)
Train Epoch: 1 [80000/100000]	Loss: 0.1302 (0.1434) 	Acc: 68.75% (67.77%) 	Emb_Norm: 3.37 (2.77)
Train Epoch: 1 [83200/100000]	Loss: 0.1061 (0.1415) 	Acc: 81.25% (68.25%) 	Emb_Norm: 3.08 (2.78)
Train Epoch: 1 [86400/100000]	Loss: 0.1630 (0.1398) 	Acc: 59.38% (68.69%) 	Emb_Norm: 3.10 (2.79)
Train Epoch: 1 [89600/100000]	Loss: 0.1496 (0.1380) 	Acc: 65.62% (69.18%) 	Emb_Norm: 3.32 (2.81)
Train Epoch: 1 [92800/100000]	Loss: 0.1263 (0.1368) 	Acc: 71.88% (69.49%) 	Emb_Norm: 3.20 (2.82)
Train Epoch: 1 [96000/100000]	Loss: 0.1182 (0.1353) 	Acc: 81.25% (69.89%) 	Emb_Norm: 2.99 (2.84)
Train Epoch: 1 [99200/100000]	Loss: 0.0560 (0.1339) 	Acc: 90.62% (70.26%) 	Emb_Norm: 3.29 (2.86)

Test set: Average loss: 0.0984, Accuracy: 79.02%

Train Epoch: 2 [0/100000]	Loss: 0.0676 (0.0676) 	Acc: 87.50% (87.50%) 	Emb_Norm: 3.29 (3.29)
Train Epoch: 2 [3200/100000]	Loss: 0.1100 (0.0859) 	Acc: 78.12% (83.29%) 	Emb_Norm: 3.19 (3.17)
Train Epoch: 2 [6400/100000]	Loss: 0.0930 (0.0858) 	Acc: 75.00% (82.62%) 	Emb_Norm: 3.54 (3.24)
Train Epoch: 2 [9600/100000]	Loss: 0.0719 (0.0862) 	Acc: 87.50% (82.68%) 	Emb_Norm: 3.14 (3.26)
Train Epoch: 2 [12800/100000]	Loss: 0.0461 (0.0839) 	Acc: 90.62% (83.07%) 	Emb_Norm: 3.09 (3.25)
Train Epoch: 2 [16000/100000]	Loss: 0.0436 (0.0825) 	Acc: 93.75% (83.52%) 	Emb_Norm: 3.10 (3.21)
Train Epoch: 2 [19200/100000]	Loss: 0.1272 (0.0822) 	Acc: 68.75% (83.56%) 	Emb_Norm: 3.23 (3.20)
Train Epoch: 2 [22400/100000]	Loss: 0.0829 (0.0820) 	Acc: 81.25% (83.49%) 	Emb_Norm: 3.02 (3.21)
Train Epoch: 2 [25600/100000]	Loss: 0.0486 (0.0807) 	Acc: 87.50% (83.77%) 	Emb_Norm: 2.75 (3.19)
Train Epoch: 2 [28800/100000]	Loss: 0.0619 (0.0803) 	Acc: 93.75% (83.97%) 	Emb_Norm: 3.18 (3.18)
