Train Epoch: 1 [0/100000]	Loss: 0.1861 (0.1861) 	Acc: 67.71% (67.71%) 	Emb_Norm: 0.72 (0.72)
Train Epoch: 1 [9600/100000]	Loss: 0.1014 (0.1407) 	Acc: 82.29% (69.86%) 	Emb_Norm: 0.58 (0.64)
Train Epoch: 1 [19200/100000]	Loss: 0.0987 (0.1296) 	Acc: 77.08% (72.40%) 	Emb_Norm: 0.53 (0.60)
Train Epoch: 1 [28800/100000]	Loss: 0.1634 (0.1179) 	Acc: 61.46% (75.52%) 	Emb_Norm: 0.46 (0.56)
Train Epoch: 1 [38400/100000]	Loss: 0.0705 (0.1091) 	Acc: 88.54% (77.95%) 	Emb_Norm: 0.43 (0.53)
Train Epoch: 1 [48000/100000]	Loss: 0.0000 (0.0959) 	Acc: 100.00% (81.06%) 	Emb_Norm: 0.43 (0.51)
Train Epoch: 1 [57600/100000]	Loss: 0.0263 (0.0889) 	Acc: 97.92% (82.85%) 	Emb_Norm: 0.42 (0.50)
Train Epoch: 1 [67200/100000]	Loss: 0.1544 (0.0838) 	Acc: 84.38% (84.05%) 	Emb_Norm: 0.72 (0.50)
Train Epoch: 1 [76800/100000]	Loss: 0.1678 (0.0807) 	Acc: 58.33% (84.88%) 	Emb_Norm: 0.43 (0.50)
Train Epoch: 1 [86400/100000]	Loss: 0.0516 (0.0766) 	Acc: 90.62% (85.81%) 	Emb_Norm: 0.52 (0.50)
Train Epoch: 1 [96000/100000]	Loss: 0.0406 (0.0734) 	Acc: 94.79% (86.41%) 	Emb_Norm: 0.54 (0.50)

Test set: Average loss: 0.1136, Accuracy: 81.49%

Train Epoch: 2 [0/100000]	Loss: 0.0235 (0.0235) 	Acc: 100.00% (100.00%) 	Emb_Norm: 0.60 (0.60)
Train Epoch: 2 [9600/100000]	Loss: 0.0380 (0.0313) 	Acc: 93.75% (95.69%) 	Emb_Norm: 0.43 (0.54)
Train Epoch: 2 [19200/100000]	Loss: 0.0144 (0.0347) 	Acc: 100.00% (94.85%) 	Emb_Norm: 0.58 (0.54)
